annee_numero_tirage,jour_tirage,date_tirage,boule_1,boule_2,boule_3,boule_4,boule_5,etoile_1,etoile_2,boules_croissant,etoiles_croissant,nb_gagnants_r1_fr,nb_gagnants_r1_eu,rapport_r1
2004001,V,01/01/1970,32,16,29,41,36,9,7,16-29-32-36-41,7-9,1,1,15000000
2004002,V,01/01/1970,13,50,47,7,39,2,5,7-13-39-47-50,2-5,0,0,0
2004003,V,01/01/1970,37,19,18,14,31,5,4,14-18-19-31-37,4-5,0,0,0
2004004,V,01/01/1970,39,37,4,7,33,5,1,4-7-33-37-39,1-5,0,1,20678070
2004005,V,01/01/1970,44,47,15,28,24,4,5,15-24-28-44-47,4-5,0,0,0
2004006,V,01/01/1970,42,45,33,37,36,9,4,33-36-37-42-45,4-9,0,0,0
2004007,V,01/01/1970,23,43,3,4,10,2,4,3-4-10-23-43,2-4,0,0,0
2004008,V,01/01/1970,4,24,12,36,27,2,9,4-12-24-27-36,2-9,0,0,0
2004009,V,01/01/1970,23,19,10,1,4,2,8,1-4-10-19-23,2-8,0,1,25556285
2004010,V,01/01/1970,28,40,14,15,35,3,1,14-15-28-35-40,1-3,0,0,0
2004011,V,01/01/1970,45,21,6,49,10,5,3,6-10-21-45-49,3-5,0,0,0
2004012,V,01/01/1970,27,16,6,5,23,7,6,5-6-16-23-27,6-7,0,0,0
2004013,V,01/01/1970,38,36,15,16,21,1,5,15-16-21-36-38,1-5,0,0,0
2004014,V,01/01/1970,32,3,1,39,21,2,6,1-3-21-32-39,2-6,1,1,33816137
2004015,V,01/01/1970,37,39,29,15,49,4,9,15-29-37-39-49,4-9,1,1,10000000
2004016,V,01/01/1970,41,44,6,35,11,6,5,6-11-35-41-44,5-6,0,0,0
2004017,V,01/01/1970,41,42,34,13,9,7,3,9-13-34-41-42,3-7,1,1,12488171
2004018,V,01/01/1970,7,2,47,10,8,1,7,2-7-8-10-47,1-7,0,0,0
2004019,V,01/01/1970,28,2,40,23,43,6,2,2-23-28-40-43,2-6,0,1,12286876
2004020,V,01/01/1970,30,21,35,3,34,1,2,3-21-30-34-35,1-2,0,0,0
2004021,V,01/01/1970,4,28,24,23,34,1,3,4-23-24-28-34,1-3,0,0,0
2004022,V,01/01/1970,44,19,5,12,2,8,9,2-5-12-19-44,8-9,0,0,0
2004023,V,01/01/1970,26,50,31,24,38,8,5,24-26-31-38-50,5-8,0,0,0
2004024,V,01/01/1970,10,27,7,34,31,8,3,7-10-27-31-34,3-8,0,0,0
2004025,V,01/01/1970,50,10,9,19,37,6,1,9-10-19-37-50,1-6,0,0,0
2004026,V,01/01/1970,5,35,44,15,24,6,5,5-15-24-35-44,5-6,1,1,24746858
2004027,V,01/01/1970,20,27,41,43,50,5,8,20-27-41-43-50,5-8,0,0,0
2004028,V,01/01/1970,27,10,35,9,6,6,8,6-9-10-27-35,6-8,0,0,0
2004029,V,01/01/1970,28,1,44,22,11,1,9,1-11-22-28-44,1-9,0,0,0
2004030,V,01/01/1970,14,12,15,34,8,7,6,8-12-14-15-34,6-7,0,0,0
2004031,V,01/01/1970,5,38,36,25,33,5,2,5-25-33-36-38,2-5,0,0,0
2004032,V,01/01/1970,41,39,15,18,29,8,5,15-18-29-39-41,5-8,0,0,0
2004033,V,01/01/1970,48,21,26,27,44,1,7,21-26-27-44-48,1-7,0,0,0
2004034,V,01/01/1970,48,20,45,21,12,6,5,12-20-21-45-48,5-6,0,1,29785269
2004035,V,01/01/1970,12,10,48,1,16,2,6,1-10-12-16-48,2-6,0,0,0
2004036,V,01/01/1970,37,21,14,43,22,5,8,14-21-22-37-43,5-8,0,0,0
2004037,V,01/01/1970,9,25,1,40,23,3,9,1-9-23-25-40,3-9,0,1,25059130
2004038,V,01/01/1970,32,1,38,35,8,9,4,1-8-32-35-38,4-9,0,0,0
2004039,V,01/01/1970,25,42,49,19,6,1,7,6-19-25-42-49,1-7,0,0,0
2004040,V,01/01/1970,12,13,4,32,11,9,3,4-11-12-13-32,3-9,0,0,0
2004041,V,01/01/1970,37,29,34,18,1,6,2,1-18-29-34-37,2-6,0,0,0
2004042,V,01/01/1970,24,1,34,4,36,8,6,1-4-24-34-36,6-8,0,1,43756502
2004043,V,01/01/1970,15,42,11,1,49,4,3,1-11-15-42-49,3-4,0,0,0
2004044,V,01/01/1970,3,13,43,1,16,7,2,1-3-13-16-43,2-7,0,0,0
2004045,V,01/01/1970,49,22,19,15,46,9,2,15-19-22-46-49,2-9,1,1,26215627
2004046,V,01/01/1970,3,27,29,4,37,6,5,3-4-27-29-37,5-6,0,1,10000000
2004047,V,01/01/1970,8,7,47,25,24,8,9,7-8-24-25-47,8-9,0,0,0
2005001,V,01/01/1970,50,27,47,3,23,3,2,3-23-27-47-50,2-3,0,0,0
2005002,V,01/01/1970,11,14,29,6,19,3,1,6-11-14-19-29,1-3,1,2,13003681
2005003,V,01/01/1970,12,14,10,26,24,8,5,10-12-14-24-26,5-8,0,0,0
2005004,V,01/01/1970,26,21,7,43,45,5,7,7-21-26-43-45,5-7,0,0,0
2005005,V,01/01/1970,11,1,40,30,8,7,8,1-8-11-30-40,7-8,0,0,0
2005006,V,01/01/1970,11,13,25,32,50,7,4,11-13-25-32-50,4-7,1,1,34776948
2005007,V,01/01/1970,32,46,20,21,26,8,9,20-21-26-32-46,8-9,0,1,10000000
2005008,V,01/01/1970,43,3,27,44,30,8,4,3-27-30-43-44,4-8,0,0,0
2005009,V,01/01/1970,12,32,37,39,24,7,9,12-24-32-37-39,7-9,0,0,0
2005010,V,01/01/1970,40,12,43,23,8,1,4,8-12-23-40-43,1-4,0,0,0
2005011,V,01/01/1970,48,39,23,6,43,5,7,6-23-39-43-48,5-7,0,0,0
2005012,V,01/01/1970,29,33,38,4,37,9,6,4-29-33-37-38,6-9,0,0,0
2005013,V,01/01/1970,26,44,47,25,41,3,7,25-26-41-44-47,3-7,0,0,0
2005014,V,01/01/1970,31,50,25,11,7,3,1,7-11-25-31-50,1-3,0,1,64040749
2005015,V,01/01/1970,6,31,42,38,28,9,3,6-28-31-38-42,3-9,0,0,0
2005016,V,01/01/1970,13,10,24,47,3,9,5,3-10-13-24-47,5-9,0,2,11874779
2005017,V,01/01/1970,42,35,9,3,39,1,8,3-9-35-39-42,1-8,0,0,0
2005018,V,01/01/1970,44,21,12,7,26,6,8,7-12-21-26-44,6-8,0,0,0
2005019,V,01/01/1970,12,40,31,17,32,9,2,12-17-31-32-40,2-9,0,0,0
2005020,V,01/01/1970,28,6,47,7,13,8,5,6-7-13-28-47,5-8,0,1,43020745
2005021,V,01/01/1970,50,48,31,2,24,9,4,2-24-31-48-50,4-9,0,0,0
2005022,V,01/01/1970,8,11,3,17,50,5,1,3-8-11-17-50,1-5,0,0,0
2005023,V,01/01/1970,37,32,47,7,6,7,1,6-7-32-37-47,1-7,0,0,0
2005024,V,01/01/1970,8,4,10,21,18,7,1,4-8-10-18-21,1-7,0,0,0
2005025,V,01/01/1970,6,15,8,14,45,7,8,6-8-14-15-45,7-8,0,0,0
2005026,V,01/01/1970,23,28,5,4,25,3,4,4-5-23-25-28,3-4,0,0,0
2005027,V,01/01/1970,42,46,36,35,49,8,2,35-36-42-46-49,2-8,0,0,0
2005028,V,01/01/1970,42,23,1,11,12,6,3,1-11-12-23-42,3-6,0,0,0
2005029,V,01/01/1970,49,14,41,3,48,1,4,3-14-41-48-49,1-4,0,0,0
2005030,V,01/01/1970,50,3,19,49,26,5,4,3-19-26-49-50,4-5,0,1,115436126
2005031,V,01/01/1970,21,11,2,22,30,4,6,2-11-21-22-30,4-6,0,0,0
2005032,V,01/01/1970,37,23,40,15,30,7,9,15-23-30-37-40,7-9,0,0,0
2005033,V,01/01/1970,41,29,11,24,31,3,1,11-24-29-31-41,1-3,0,0,0
2005034,V,01/01/1970,29,35,40,41,9,6,1,9-29-35-40-41,1-6,0,0,0
2005035,V,01/01/1970,43,3,4,50,14,3,6,3-4-14-43-50,3-6,0,0,0
2005036,V,01/01/1970,31,12,50,19,8,7,6,8-12-19-31-50,6-7,0,0,0
2005037,V,01/01/1970,19,38,12,13,21,3,9,12-13-19-21-38,3-9,1,1,75888514
2005038,V,01/01/1970,1,31,34,26,47,4,9,1-26-31-34-47,4-9,0,0,0
2005039,V,01/01/1970,11,50,48,6,47,1,6,6-11-47-48-50,1-6,1,4,6266595
2005040,V,01/01/1970,26,44,21,13,2,3,9,2-13-21-26-44,3-9,0,2,7500000
2005041,V,01/01/1970,10,19,11,23,20,6,1,10-11-19-20-23,1-6,0,1,15000000
2005042,V,01/01/1970,19,14,33,1,29,1,8,1-14-19-29-33,1-8,0,0,0
2005043,V,01/01/1970,14,50,47,44,36,3,5,14-36-44-47-50,3-5,0,0,0
2005044,V,01/01/1970,38,42,36,37,26,2,6,26-36-37-38-42,2-6,0,0,0
2005045,V,01/01/1970,41,16,36,42,15,5,3,15-16-36-41-42,3-5,0,1,45117030
2005046,V,01/01/1970,34,17,18,48,25,3,2,17-18-25-34-48,2-3,0,0,0
2005047,V,01/01/1970,27,39,47,6,1,6,1,1-6-27-39-47,1-6,0,0,0
2005048,V,01/01/1970,1,30,20,9,23,4,7,1-9-20-23-30,4-7,0,0,0
2005049,V,01/01/1970,11,42,38,35,18,1,5,11-18-35-38-42,1-5,0,0,0
2005050,V,01/01/1970,2,18,3,15,32,7,6,2-3-15-18-32,6-7,0,0,0
2005051,V,01/01/1970,31,42,37,36,15,1,7,15-31-36-37-42,1-7,0,0,0
2005052,V,01/01/1970,19,45,43,8,16,1,4,8-16-19-43-45,1-4,0,0,0
2006001,V,01/01/1970,6,26,14,9,2,4,5,2-6-9-14-26,4-5,0,0,0
2006002,V,01/01/1970,12,19,33,34,8,1,6,8-12-19-33-34,1-6,0,0,0
2006003,V,01/01/1970,15,12,50,33,44,6,2,12-15-33-44-50,2-6,0,0,0
2006004,V,01/01/1970,9,21,15,40,49,4,1,9-15-21-40-49,1-4,0,0,0
2006005,V,01/01/1970,30,39,9,21,50,3,1,9-21-30-39-50,1-3,2,3,61191026
2006006,V,01/01/1970,5,38,6,48,50,6,7,5-6-38-48-50,6-7,0,0,0
2006007,V,01/01/1970,4,23,38,24,26,4,2,4-23-24-26-38,2-4,0,1,27813382
2006008,V,01/01/1970,18,19,1,47,11,7,3,1-11-18-19-47,3-7,0,0,0
2006009,V,01/01/1970,5,44,10,8,3,3,5,3-5-8-10-44,3-5,0,0,0
2006010,V,01/01/1970,1,33,21,45,49,4,8,1-21-33-45-49,4-8,0,0,0
2006011,V,01/01/1970,50,44,5,45,32,7,1,5-32-44-45-50,1-7,0,0,0
2006012,V,01/01/1970,17,47,28,33,35,4,9,17-28-33-35-47,4-9,0,0,0
2006013,V,01/01/1970,50,3,45,20,31,7,6,3-20-31-45-50,6-7,0,1,75753123
2006014,V,01/01/1970,13,12,29,50,44,4,5,12-13-29-44-50,4-5,0,0,0
2006015,V,01/01/1970,34,35,26,16,49,6,2,16-26-34-35-49,2-6,0,1,25915863
2006016,V,01/01/1970,46,1,22,20,37,1,9,1-20-22-37-46,1-9,0,0,0
2006017,V,01/01/1970,17,5,33,22,10,7,5,5-10-17-22-33,5-7,1,4,6452983
2006018,V,01/01/1970,8,50,16,4,14,9,3,4-8-14-16-50,3-9,0,0,0
2006019,V,01/01/1970,23,5,20,34,50,1,5,5-20-23-34-50,1-5,0,2,12820188
2006020,V,01/01/1970,49,34,25,3,5,8,5,3-5-25-34-49,5-8,0,1,15000000
2006021,V,01/01/1970,21,41,12,2,49,3,7,2-12-21-41-49,3-7,0,2,7500000
2006022,V,01/01/1970,41,7,48,27,8,6,1,7-8-27-41-48,1-6,0,0,0
2006023,V,01/01/1970,3,34,39,15,12,4,6,3-12-15-34-39,4-6,0,0,0
2006024,V,01/01/1970,26,36,1,16,30,9,3,1-16-26-30-36,3-9,0,0,0
2006025,V,01/01/1970,44,30,9,21,43,9,1,9-21-30-43-44,1-9,0,0,0
2006026,V,01/01/1970,16,6,15,40,43,1,2,6-15-16-40-43,1-2,0,0,0
2006027,V,01/01/1970,35,9,7,43,18,7,5,7-9-18-35-43,5-7,0,2,34204133
2006028,V,01/01/1970,1,31,7,17,36,8,2,1-7-17-31-36,2-8,0,0,0
2006029,V,01/01/1970,50,4,38,2,9,8,6,2-4-9-38-50,6-8,0,1,25042525
2006030,V,01/01/1970,3,43,29,8,12,6,7,3-8-12-29-43,6-7,0,0,0
2006031,V,01/01/1970,26,15,32,14,1,7,3,1-14-15-26-32,3-7,0,0,0
2006032,V,01/01/1970,47,31,46,28,27,5,2,27-28-31-46-47,2-5,0,0,0
2006033,V,01/01/1970,37,40,50,12,39,1,2,12-37-39-40-50,1-2,0,0,0
2006034,V,01/01/1970,47,10,28,48,40,8,6,10-28-40-47-48,6-8,1,1,57414511
2006035,V,01/01/1970,25,50,7,45,3,9,6,3-7-25-45-50,6-9,0,0,0
2006036,V,01/01/1970,12,10,32,33,1,8,1,1-10-12-32-33,1-8,0,0,0
2006037,V,01/01/1970,10,49,26,6,16,7,9,6-10-16-26-49,7-9,0,0,0
2006038,V,01/01/1970,30,45,49,29,10,8,3,10-29-30-45-49,3-8,0,0,0
